powertrain,vehicle_type,year,make,model,trim,class,msrp,range,mpg,mpge,kwhp100mi,gal100mi,phev_uf
bev,car,2006,ford,fusion,unknown,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2007,ford,fusion,unknown,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2008,ford,fusion,unknown,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2008,tesla,roadster,base,NA,98000,NA,NA,NA,NA,NA,NA
bev,car,2008,tesla,roadster,roadster,NA,98000,NA,NA,NA,NA,NA,NA
bev,car,2008,tesla,roadster,unknown,NA,98000,NA,NA,NA,NA,NA,NA
bev,car,2009,ford,fusion,unknown,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2010,ford,fusion,unknown,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2010,tesla,roadster,base,NA,118750,NA,NA,NA,NA,NA,NA
bev,car,2010,tesla,roadster,sport,NA,118750,NA,NA,NA,NA,NA,NA
bev,car,2010,tesla,roadster,unknown,NA,118750,NA,NA,NA,NA,NA,NA
bev,car,2011,ford,fusion,unknown,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2011,nissan,leaf,sl,midsize,33406.666666666664,73,0,0,34,0,0
bev,car,2011,nissan,leaf,sv,midsize,33406.666666666664,73,0,0,34,0,0
bev,car,2011,nissan,leaf,unknown,NA,33406.666666666664,73,0,0,34,0,0
bev,car,2011,tesla,roadster,base,NA,118750,NA,NA,NA,NA,NA,NA
bev,car,2011,tesla,roadster,sport,NA,118750,NA,NA,NA,NA,NA,NA
bev,car,2011,tesla,roadster,unknown,NA,118750,NA,NA,NA,NA,NA,NA
bev,car,2012,buick,regal,base,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2012,buick,regal,cxl,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2012,buick,regal,premium 1,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2012,buick,regal,premium 2,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2012,ford,focus,electric,small,39200,76,104.758,0,32,0,0
bev,car,2012,ford,fusion,unknown,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2012,mitsubishi,i-miev,es,small,30125,62,112.2,0,30,0,0
bev,car,2012,mitsubishi,i-miev,unknown,NA,30125,62,112.2,0,30,0,0
bev,car,2012,nissan,leaf,sl,midsize,36225,73,0,0,34,0,0
bev,car,2012,nissan,leaf,sv,midsize,36225,73,0,0,34,0,0
bev,car,2012,nissan,leaf,unknown,NA,36225,73,0,0,34,0,0
bev,car,2012,tesla,model s,85,large,88900,265,88.8,0,38,0,0
bev,car,2012,tesla,model s,performance,large,88900,265,88.8,0,38,0,0
bev,car,2012,tesla,model s,s,large,88900,265,88.8,0,38,0,0
bev,car,2012,tesla,model s,unknown,NA,88900,265,88.8,0,38,0,0
bev,car,2013,fiat,500e,battery electric,small,31800,87,115.974,0,29,0,0
bev,car,2013,fiat,500e,unknown,NA,31800,87,115.974,0,29,0,0
bev,car,2013,ford,focus,electric,small,39200,76,104.7587,0,32,0,0
bev,car,2013,ford,fusion,unknown,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2013,honda,fit,ev,small,36625,82,118.142,0,29,0,0
bev,car,2013,nissan,leaf,s,midsize,31820,75,115.4934,0,29,0,0
bev,car,2013,nissan,leaf,sl,midsize,31820,75,115.4934,0,29,0,0
bev,car,2013,nissan,leaf,sv,midsize,31820,75,115.4934,0,29,0,0
bev,car,2013,nissan,leaf,unknown,NA,31820,75,115.4934,0,29,0,0
bev,car,2013,smart,fortwo,electric coupe,small,26500,68,106.9856,0,32,0,0
bev,car,2013,smart,fortwo,electric drive,small,26500,68,106.9856,0,32,0,0
bev,car,2013,smart,fortwo,passion,small,26500,68,106.9856,0,32,0,0
bev,car,2013,tesla,model s,60,large,82400,208,94.3,0,36,0,0
bev,car,2013,tesla,model s,85,large,82400,265,94.3,0,36,0,0
bev,car,2013,tesla,model s,performance,large,82400,265,94.3,0,36,0,0
bev,car,2013,tesla,model s,s,large,82400,139,94.3,0,36,0,0
bev,car,2013,tesla,model s,unknown,NA,82400,236.5,94.3,0,36,0,0
bev,car,2014,bmw,i3,base,small,41350,81,124.3601,0,27,0,0
bev,car,2014,bmw,i3,mega world,small,41350,81,124.3601,0,27,0,0
bev,car,2014,bmw,i3,unknown,NA,41350,81,124.3601,0,27,0,0
bev,car,2014,buick,regal,premium 1,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2014,chevrolet,spark,1lt,small,26847.5,82,118.9,0,28,0,0
bev,car,2014,chevrolet,spark,2lt,small,26847.5,82,118.9,0,28,0,0
bev,car,2014,fiat,500e,battery electric,small,31800,87,115.974,0,29,0,0
bev,car,2014,fiat,500e,unknown,NA,31800,87,115.974,0,29,0,0
bev,car,2014,ford,focus,electric,small,29170,76,104.7587,0,32,0,0
bev,car,2014,ford,fusion,unknown,NA,NA,NA,NA,NA,NA,NA,NA
bev,car,2014,honda,fit,ev,small,36625,82,118.142,0,29,0,0
bev,car,2014,mercedes-benz,b-class,b250,midsize,41450,87,83.7634,0,40,0,0
bev,car,2014,mitsubishi,i-miev,es,small,22995,62,112.2077,0,30,0,0
bev,car,2014,mitsubishi,i-miev,unknown,NA,22995,62,112.2077,0,30,0,0
bev,car,2014,nissan,leaf,s,midsize,32000,84,113.7879,0,30,0,0
bev,car,2014,nissan,leaf,sl,midsize,32000,84,113.7879,0,30,0,0
bev,car,2014,nissan,leaf,sv,midsize,32000,84,113.7879,0,30,0,0
bev,car,2014,nissan,leaf,unknown,NA,32000,84,113.7879,0,30,0,0
bev,car,2014,smart,fortwo,electric coupe,small,26500,68,106.9856,0,32,0,0
bev,car,2014,smart,fortwo,electric drive,small,26500,68,106.9856,0,32,0,0
bev,car,2014,smart,fortwo,passion,small,26500,68,106.9856,0,32,0,0
bev,car,2014,smart,fortwo,pure,small,26500,68,106.9856,0,32,0,0
bev,car,2014,tesla,model s,60,large,86925,208,95.4,0,35,0,0
bev,car,2014,tesla,model s,85,large,86925,265,95.4,0,35,0,0
bev,car,2014,tesla,model s,p90d,large,86925,250,95.4,0,35,0,0
bev,car,2014,tesla,model s,performance,large,86925,208,95.4,0,35,0,0
bev,car,2014,tesla,model s,s,large,86925,208,95.4,0,35,0,0
