age_months,powertrain,vehicle_type,miles25,miles50,miles75,vehicle,age_years,category
24,bev,car,7404,12678.5,19639.75,bev_car,2,other
25,bev,car,8743,14561.5,21096,bev_car,2.0833333333333335,other
26,bev,car,9044.5,15086,21949,bev_car,2.1666666666666665,other
27,bev,car,8441,14503,21619.25,bev_car,2.25,other
28,bev,car,9718,15183,21734,bev_car,2.3333333333333335,other
29,bev,car,9821.25,15502,21806.5,bev_car,2.4166666666666665,other
30,bev,car,10076,15836,22757.5,bev_car,2.5,other
31,bev,car,10794.5,17133,23988.5,bev_car,2.5833333333333335,other
32,bev,car,11959,18475,26010,bev_car,2.6666666666666665,other
33,bev,car,12818,18604,25698.5,bev_car,2.75,other
34,bev,car,13644,19729.5,27442.75,bev_car,2.8333333333333335,other
35,bev,car,14252,20210,27721.5,bev_car,2.9166666666666665,other
36,bev,car,13762.75,20000,27408.5,bev_car,3,other
37,bev,car,14546.5,21224,29290.75,bev_car,3.0833333333333335,other
38,bev,car,15500.25,22294.5,29998.75,bev_car,3.1666666666666665,other
39,bev,car,16201.75,22836.5,31155.75,bev_car,3.25,other
40,bev,car,16438.25,23247.5,31439.5,bev_car,3.3333333333333335,other
41,bev,car,16305,23125.5,31000,bev_car,3.4166666666666665,other
42,bev,car,16832.5,23941,31349,bev_car,3.5,other
43,bev,car,17400.25,24488.5,32076,bev_car,3.5833333333333335,other
44,bev,car,17732,25008,32935,bev_car,3.6666666666666665,other
45,bev,car,18521.75,25917,33971.25,bev_car,3.75,other
46,bev,car,18627.25,26412.5,34396.25,bev_car,3.8333333333333335,other
47,bev,car,19183.25,26747,34948.25,bev_car,3.9166666666666665,other
48,bev,car,19183,26996.5,35351.5,bev_car,4,other
49,bev,car,20000,27947.5,36404,bev_car,4.083333333333333,other
50,bev,car,20673.25,28578,37918.5,bev_car,4.166666666666667,other
51,bev,car,21541.75,29256.5,37791.25,bev_car,4.25,other
52,bev,car,21399,29157,37874,bev_car,4.333333333333333,other
53,bev,car,20915.5,28794.5,37317.25,bev_car,4.416666666666667,other
54,bev,car,21506.5,29053,37429.5,bev_car,4.5,other
55,bev,car,21000,29240,38215,bev_car,4.583333333333333,other
56,bev,car,22794,31000,40332,bev_car,4.666666666666667,other
57,bev,car,22945,31450,42005,bev_car,4.75,other
58,bev,car,24000,32885.5,43398.5,bev_car,4.833333333333333,other
59,bev,car,24961,34273.5,45180.75,bev_car,4.916666666666667,other
60,bev,car,26476,35168,46163.5,bev_car,5,other
61,bev,car,25937,35136,46915.5,bev_car,5.083333333333333,other
62,bev,car,26262.5,35973,46611.5,bev_car,5.166666666666667,other
63,bev,car,27519.25,36814.5,47993.75,bev_car,5.25,other
64,bev,car,27804.5,37749.5,48807.5,bev_car,5.333333333333333,other
65,bev,car,27253,37820.5,48544.25,bev_car,5.416666666666667,other
66,bev,car,28136,37674,50127,bev_car,5.5,other
67,bev,car,29526,39729,50039,bev_car,5.583333333333333,other
68,bev,car,29755,39448,51099,bev_car,5.666666666666667,other
69,bev,car,32000,41927,53627,bev_car,5.75,other
70,bev,car,30050,40291,53552,bev_car,5.833333333333333,other
71,bev,car,31690,42000,53443.5,bev_car,5.916666666666667,other
72,bev,car,32184.5,42958,54215.5,bev_car,6,other
73,bev,car,33331.5,43533,55602,bev_car,6.083333333333333,other
74,bev,car,32322,42555,55347,bev_car,6.166666666666667,other
75,bev,car,34390,44377,55978,bev_car,6.25,other
76,bev,car,34013.5,44000,56288.5,bev_car,6.333333333333333,other
77,bev,car,33819,45049,58570.5,bev_car,6.416666666666667,other
78,bev,car,34031.5,44545,57243,bev_car,6.5,other
79,bev,car,33392,45000,57412,bev_car,6.583333333333333,other
80,bev,car,34324.25,45598,59218,bev_car,6.666666666666667,other
81,bev,car,34625,46516,59992.75,bev_car,6.75,other
