age_months,tesla,miles25,miles50,miles75,age_years,powertrain,vehicle_type,vehicle,category
24,0,17927.75,31797,41425,2,conventional,car,Conventional,conventional
25,0,18476,32000,41718,2.0833333333333335,conventional,car,Conventional,conventional
26,0,19421,32986,42398,2.1666666666666665,conventional,car,Conventional,conventional
27,0,19330,32007,42325,2.25,conventional,car,Conventional,conventional
28,0,19374,31003,41638,2.3333333333333335,conventional,car,Conventional,conventional
29,0,19647,30781,41578,2.4166666666666665,conventional,car,Conventional,conventional
30,0,19787,30422,41671,2.5,conventional,car,Conventional,conventional
31,0,20038,30371,41837,2.5833333333333335,conventional,car,Conventional,conventional
32,0,20480,30600,42200,2.6666666666666665,conventional,car,Conventional,conventional
33,0,20944,30902,42411.25,2.75,conventional,car,Conventional,conventional
34,0,21515,31332,42853,2.8333333333333335,conventional,car,Conventional,conventional
35,0,21990.25,31518,42971,2.9166666666666665,conventional,car,Conventional,conventional
36,0,22498,31903,43014.25,3,conventional,car,Conventional,conventional
37,0,23170,32596,43997,3.0833333333333335,conventional,car,Conventional,conventional
38,0,23669,32916,44361,3.1666666666666665,conventional,car,Conventional,conventional
39,0,23717,32864,44274,3.25,conventional,car,Conventional,conventional
40,0,23916,32910,43937,3.3333333333333335,conventional,car,Conventional,conventional
41,0,24121,33175,44400,3.4166666666666665,conventional,car,Conventional,conventional
42,0,24476,33511,45000,3.5,conventional,car,Conventional,conventional
43,0,24875,34000,45867,3.5833333333333335,conventional,car,Conventional,conventional
44,0,25340,34620,47157,3.6666666666666665,conventional,car,Conventional,conventional
45,0,25866,35206,48627,3.75,conventional,car,Conventional,conventional
46,0,26392,35926.5,50280,3.8333333333333335,conventional,car,Conventional,conventional
47,0,27217,37000,52433,3.9166666666666665,conventional,car,Conventional,conventional
48,0,28125,38760,55000,4,conventional,car,Conventional,conventional
49,0,29748,41441,58687,4.083333333333333,conventional,car,Conventional,conventional
50,0,30976,43684,61737,4.166666666666667,conventional,car,Conventional,conventional
51,0,32002,45363,63444,4.25,conventional,car,Conventional,conventional
52,0,33517.5,47602,65802,4.333333333333333,conventional,car,Conventional,conventional
53,0,35189.25,49848.5,68075,4.416666666666667,conventional,car,Conventional,conventional
54,0,36541,51582,70031.5,4.5,conventional,car,Conventional,conventional
55,0,37974,53343,71686.5,4.583333333333333,conventional,car,Conventional,conventional
56,0,39000,54755.5,73499.75,4.666666666666667,conventional,car,Conventional,conventional
57,0,40111.25,56000,74692,4.75,conventional,car,Conventional,conventional
58,0,40923.75,57020,75608,4.833333333333333,conventional,car,Conventional,conventional
59,0,42119.5,58072,76995.5,4.916666666666667,conventional,car,Conventional,conventional
60,0,42806.25,59140,78000,5,conventional,car,Conventional,conventional
61,0,44550,60885,79612,5.083333333333333,conventional,car,Conventional,conventional
62,0,45900,62734,81707.5,5.166666666666667,conventional,car,Conventional,conventional
63,0,46050,62902.5,82042.25,5.25,conventional,car,Conventional,conventional
64,0,47443,64228,83301.5,5.333333333333333,conventional,car,Conventional,conventional
65,0,48500.25,65522,84553.5,5.416666666666667,conventional,car,Conventional,conventional
66,0,49070,66384,85419,5.5,conventional,car,Conventional,conventional
67,0,49621.5,67158,86307.5,5.583333333333333,conventional,car,Conventional,conventional
68,0,49993.5,67819,87405.5,5.666666666666667,conventional,car,Conventional,conventional
69,0,51014,68990,88363.5,5.75,conventional,car,Conventional,conventional
70,0,51531,69584.5,89288,5.833333333333333,conventional,car,Conventional,conventional
71,0,52120,70278,90164,5.916666666666667,conventional,car,Conventional,conventional
72,0,52999,71122,90915,6,conventional,car,Conventional,conventional
