make,model,powertrain,vehicle_type,n,p,cumsum
nissan,leaf,bev,car,84144,0.2604545201290139,0.2604545201290139
chevrolet,bolt ev,bev,car,48801,0.15105582141110485,0.41151034154011873
tesla,model s,bev,car,48773,0.15096915181418039,0.5624794933542991
tesla,model 3,bev,car,39783,0.12314202051593173,0.6856215138702308
bmw,i3,bev,car,38136,0.11804399101112466,0.8036655048813555
fiat,500e,bev,car,12971,0.040149690775259546,0.843815195656615
volkswagen,e-golf,bev,car,8747,0.02707496301065417,0.8708901586672692
kia,niro,bev,car,7350,0.022750769192672705,0.8936409278599419
porsche,taycan,bev,car,5374,0.016634371924003143,0.9102752997839451
chevrolet,spark,bev,car,4706,0.014566682968805136,0.9248419827527502
kia,soul,bev,car,4360,0.013495694378238502,0.9383376771309887
audi,a3 sportback e-tron?,bev,car,4271,0.013220208873728588,0.9515578860047172
ford,focus,bev,car,4152,0.012851863086799602,0.9644097490915169
smart,fortwo,bev,car,3683,0.011400147338314771,0.9758098964298316
ford,f-150,bev,pickup,8600,0.9916974169741697,0.9916974169741697
tesla,model x,bev,suv,16246,0.1937553668543078,0.1937553668543078
audi,e-tron,bev,suv,10826,0.12911458830264289,0.3228699551569507
ford,mustang mach-e,bev,suv,10697,0.12757609006774162,0.45044604522469234
volkswagen,id.4,bev,suv,8491,0.10126657761663964,0.5517126228413319
hyundai,kona ev,bev,suv,7518,0.0896622459688961,0.6413748688102281
tesla,model y,bev,suv,5261,0.06274449002957733,0.7041193588398054
chevrolet,bolt euv,bev,suv,5002,0.05965556721686862,0.763774926056674
hyundai,ioniq 5,bev,suv,4235,0.0505080622078046,0.8142829882644785
jeep,wrangler unlimited,bev,suv,4008,0.047800782368094645,0.8620837706325731
audi,e-tron sportback,bev,suv,2724,0.03248735807651942,0.8945711287090925
jaguar,i-pace,bev,suv,2374,0.02831313805934548,0.9228842667684379
kia,ev6,bev,suv,1881,0.02243345100658334,0.9453177177750213
volvo,xc40,bev,suv,1542,0.018390420761377733,0.963708138536399
jaguar,f-pace,bev,suv,930,0.011091498902776453,0.9747996374391755
toyota,rav4,bev,suv,871,0.010387844671309989,0.9851874821104856
toyota,camry,conventional,car,1809448,0.05013821865136591,0.05013821865136591
honda,accord,conventional,car,1761206,0.0488014751007476,0.0989396937521135
honda,civic,conventional,car,1670320,0.04628310367457341,0.14522279742668692
toyota,corolla,conventional,car,1539561,0.04265988635490799,0.18788268378159492
nissan,altima,conventional,car,1369133,0.03793747580300764,0.22582015958460255
nissan,sentra,conventional,car,1055638,0.02925080403564546,0.255070963620248
ford,fusion,conventional,car,1055271,0.029240634787208893,0.2843115984074569
chevrolet,malibu,conventional,car,976393,0.027054994519689495,0.3113665929271464
hyundai,elantra,conventional,car,968141,0.02682633883004764,0.33819293175719406
hyundai,sonata,conventional,car,930253,0.02577649554731006,0.3639694273045041
chevrolet,cruze,conventional,car,862213,0.02389116676359318,0.38786059406809725
ford,mustang,conventional,car,746479,0.020684279029103338,0.4085448730972006
bmw,3 series,conventional,car,715274,0.019819615820756992,0.4283644889179576
volkswagen,jetta,conventional,car,648119,0.01795880961160786,0.4463232985295654
subaru,outback,conventional,car,608624,0.016864437766915062,0.46318773629648047
kia,optima,conventional,car,608198,0.01685263368017398,0.48004036997665445
kia,soul,conventional,car,550557,0.015255452074909068,0.49529582205156353
dodge,charger,conventional,car,508984,0.014103500670948723,0.5093993227225122
chevrolet,camaro,conventional,car,490499,0.013591297517406594,0.5229906202399188
mazda,mazda3,conventional,car,479885,0.013297192877336475,0.5362878131172553
kia,forte,conventional,car,444832,0.012325904960587096,0.5486137180778423
dodge,challenger,conventional,car,421275,0.011673161131104167,0.5602868792089465
bmw,5 series,conventional,car,379421,0.010513423463354517,0.570800302672301
nissan,maxima,conventional,car,372633,0.010325333930963715,0.5811256366032647
lexus,es,conventional,car,368555,0.010212336124085446,0.5913379727273501
ford,f-150,conventional,pickup,1981375,0.1897486732077507,0.1897486732077507
chevrolet,silverado 1500,conventional,pickup,1786266,0.17106383369938352,0.36081250690713423
ram,ram 1500 pickup,conventional,pickup,1264764,0.1211215902698518,0.48193409717698604
toyota,tacoma,conventional,pickup,1129658,0.10818300759751245,0.5901171047744985
gmc,sierra 1500,conventional,pickup,614463,0.058844761332536306,0.6489618661070349
toyota,tundra,conventional,pickup,489016,0.046831183989583705,0.6957930500966186
nissan,frontier,conventional,pickup,472833,0.04528140023914725,0.7410744503357659
chevrolet,colorado,conventional,pickup,446333,0.04274359702672891,0.7838180473624948
ford,ranger,conventional,pickup,257309,0.024641494595628352,0.8084595419581232
nissan,titan,conventional,pickup,202793,0.019420706673809546,0.8278802486319328
ram,ram 2500 pickup,conventional,pickup,187003,0.01790855902384405,0.8457888076557768
chevrolet,silverado 2500hd,conventional,pickup,165692,0.015867686410264908,0.8616564940660417
dodge,ram 1500 pickup,conventional,pickup,154971,0.014840977420063508,0.8764974714861052
honda,ridgeline,conventional,pickup,153194,0.01467080095559304,0.8911682724416983
