powertrain,nhts2017_make,nhts2017_model,MY,avgmilesperage,BESTMILE,n,avg_survey_wt
PHEV,Chevrolet,Volt,2014,9333.327825,9801.723673,48,573.1175891
BEV,Nissan/Datsun,Leaf,2016,6911.220397,10891.6018,48,1043.253865
PHEV,Chevrolet,Volt,2017,5866.530456,15164.83412,37,625.5259181
BEV,Nissan/Datsun,Leaf,2014,7609.385875,7573.606704,36,1012.36877
BEV,Other Domestic,Tesla,2017,4422.549745,12020.36375,34,380.8786569
PHEV,Chevrolet,Volt,2013,10429.66832,12259.80629,32,557.2456297
PHEV,Chevrolet,Volt,2015,9426.469514,13001.59471,29,1002.735519
BEV,Other Domestic,Tesla,2016,7565.359017,13082.54451,24,557.1709581
BEV,Nissan/Datsun,Leaf,2013,7544.268215,12046.82977,22,990.2406613
BEV,Other Domestic,Tesla,2014,10253.71847,12171.60068,21,353.3748007
PHEV,Toyota,Prius,2014,8972.881265,10359.89427,20,831.4186631
BEV,Nissan/Datsun,Leaf,2012,5467.54336,9198.409461,20,336.4583997
BEV,Nissan/Datsun,Leaf,2015,6541.508308,8111.932575,19,698.3265575
BEV,Other Domestic,Tesla,2015,9092.588624,14548.67361,19,779.4718004
PHEV,Chevrolet,Volt,2016,8406.696123,10971.68199,18,613.2329942
PHEV,Ford,Fusion,2015,6561.716862,12198.17878,17,839.9887042
PHEV,Ford,Fusion,2017,5729.360462,23413.71921,17,849.0991759
PHEV,Toyota,Prius,2016,10089.90876,8592.01821,16,425.489702
PHEV,Toyota,Prius,2013,11764.25076,8014.531878,15,372.3022347
BEV,Nissan/Datsun,Leaf,2017,3514.632634,11726.79008,15,516.9204855
PHEV,Ford,C-Max,2014,10588.6388,14114.01653,14,877.1317788
PHEV,Ford,C-Max,2017,7359.210682,12814.19111,14,757.1572932
PHEV,Ford,Fusion,2016,9202.080841,12740.61963,14,1092.871324
PHEV,Toyota,Prius,2015,10793.93901,11144.61188,14,398.6469024
PHEV,Ford,C-Max,2015,9224.896476,12657.57155,11,1049.747513
BEV,BMW,Suppressed for confidential reason,2016,5693.120923,9006.05449,11,1079.000043
BEV,Volkswagen,Golf/Cabriolet/Cabrio/GTI/GLI,2017,4086.981607,12678.02377,11,584.7261523
PHEV,Audi,A3,2017,2359.136755,9513.558915,10,448.2463857
PHEV,Ford,C-Max,2016,7858.194509,16637.87576,10,288.3170873
PHEV,Toyota,Prius,2017,873.2007186,8259.258246,10,469.538363
BEV,Other Domestic,Tesla,2013,11267.48775,11741.95475,8,335.1685764
PHEV,Chevrolet,Volt,2012,7281.784279,8494.498281,7,340.4590599
PHEV,Ford,Fusion,2014,8729.679804,16423.64321,7,1090.995415
BEV,BMW,Suppressed for confidential reason,2017,4301.768531,8942.093559,7,682.4764979
BEV,Chevrolet,Spark,2016,4761.385956,6574.799456,7,511.199687
BEV,Fiat,500/500c,2015,5860.506754,5756.588931,7,396.1525971
BEV,Fiat,500/500c,2016,7113.826681,9078.483411,7,1072.177092
BEV,Fiat,500/500c,2017,7911.091951,9276.731479,6,668.8536233
PHEV,Cadillac,Suppressed for confidential reason,2015,2877.746216,6425.092552,5,217.0913776
BEV,Mitsubishi,Suppressed for confidential reason,2013,3934.394518,10202.9069,5,1087.941384
BEV,Smart,Fortwo,2015,2842.68759,4324.829653,5,231.5753001
PHEV,Honda,Accord,2015,10277.21733,10828.82854,4,657.2815927
PHEV,Porsche,Cayenne,2017,3631.562754,11844.33197,4,3990.974804
PHEV,Volvo,XC90,2017,697.6987332,4953.972117,4,210.4640032
BEV,BMW,Suppressed for confidential reason,2015,3912.424865,4804.662497,4,439.9762335
BEV,Chevrolet,Spark,2015,6708.538132,8670.906637,4,953.5001067
BEV,Chevrolet,Suppressed for confidential reason,2017,968.7114198,1920.305738,4,569.1536779
BEV,Fiat,500/500c,2014,3598.022677,7469.666072,4,450.4736184
PHEV,BMW,Suppressed for confidential reason,2017,1465.632332,6365.80331,3,554.4497968
PHEV,BMW,X5,2017,3995.526373,18944.77337,3,283.701517
BEV,Chevrolet,Spark,2017,1755.503216,3473.568686,3,535.5644835
BEV,I don't know,Suppressed for confidential reason,2014,16828.13581,23826.55179,3,651.3188679
BEV,Mercedes Benz,Suppressed for confidential reason,2015,3371.902336,4568.322596,3,340.6443937
BEV,Other Domestic,Tesla,2012,7215.704124,14586.79159,3,454.5799643
BEV,Smart,Fortwo,2017,5386.408813,7202.730472,3,824.4033252
BEV,Volkswagen,Golf/Cabriolet/Cabrio/GTI/GLI,2016,10759.0975,88787.38659,3,584.2605463
PHEV,BMW,Suppressed for confidential reason,2015,5800.790312,7927.007936,2,3540.474159
PHEV,Toyota,Prius,2007,11009.24668,9663.902799,2,370.0188255
PHEV,Toyota,Prius,2009,19355.22112,9558.876981,2,102.8758884
BEV,Honda,Fit,2015,4196.168194,9970.253076,2,862.0204777
BEV,I don't know,Suppressed for confidential reason,2016,1472.432931,5839.15969,2,3401.043626
BEV,I don't know,Suppressed for confidential reason,2017,644.0929013,2115.732802,2,145.664278
BEV,KIA,Soul,2016,10610.7312,20179.34387,2,602.9852999
BEV,KIA,Soul,2017,857.670456,12680.152,2,501.4676003
BEV,Mercedes Benz,Suppressed for confidential reason,2016,6059.47906,7678.699005,2,1002.092774
BEV,Other,Other (vehicle),2010,458.2210129,308.8275432,2,258.1671589
BEV,Other,Unknown cc,2016,798.560764,4897.165441,2,484.8851722
BEV,Toyota,RAV4,2013,8076.022826,6739.709181,2,221.07114
PHEV,Audi,Suppressed for confidential reason,2013,1280,3055.106131,1,1721.815589
PHEV,BMW,Suppressed for confidential reason,2016,10050,9061.12975,1,119.2022122
PHEV,Cadillac,Suppressed for confidential reason,2017,10820,8612.813772,1,120.9523326
PHEV,Chevrolet,I don't know,2008,1082.9,2620.686049,1,258.1599982
PHEV,Chevrolet,Volt,2011,6357.142857,4154.819246,1,168.4655517
PHEV,Fiat,500/500c,2015,4333.333333,4275.398768,1,937.7254353
