make,model,year,trim,powertrain,vehicle_type,range,rangeCity,rangeHwy
chevrolet,bolt ev,2017,lt,bev,car,238,255.1,217.4
chevrolet,bolt ev,2017,premier,bev,car,238,255.1,217.4
chevrolet,bolt ev,2017,unknown,bev,car,238,255.1,217.4
chevrolet,bolt ev,2018,lt,bev,car,238,255.1,217.4
chevrolet,bolt ev,2018,premier,bev,car,238,255.1,217.4
chevrolet,bolt ev,2019,lt,bev,car,238,255.1,217.4
chevrolet,bolt ev,2019,premier,bev,car,238,255.1,217.4
chevrolet,bolt ev,2020,lt,bev,car,259,277.7,235.1
chevrolet,bolt ev,2020,premier,bev,car,259,277.7,235.1
chevrolet,bolt ev,2021,lt,bev,car,259,277.7,235.1
chevrolet,bolt ev,2021,premier,bev,car,259,277.7,235.1
chevrolet,bolt ev,2022,lt,bev,car,259,279.8,233.4
chevrolet,bolt ev,2022,premier,bev,car,259,279.8,233.4
fiat,500e,2013,battery electric,bev,car,87,91.84,81.48
fiat,500e,2013,unknown,bev,car,87,91.84,81.48
fiat,500e,2014,battery electric,bev,car,87,91.84,81.48
fiat,500e,2014,unknown,bev,car,87,91.84,81.48
fiat,500e,2015,battery electric,bev,car,87,91.84,81.48
fiat,500e,2015,three,bev,car,87,91.84,81.48
fiat,500e,2015,unknown,bev,car,87,91.84,81.48
fiat,500e,2016,battery electric,bev,car,84,90.02,76.65
fiat,500e,2016,unknown,bev,car,84,90.02,76.65
fiat,500e,2017,battery electric,bev,car,84,90.02,76.65
fiat,500e,2017,unknown,bev,car,84,90.02,76.65
fiat,500e,2018,battery electric,bev,car,84,90,76.6
fiat,500e,2019,battery electric,bev,car,84,90,76.6
hyundai,ioniq,2017,base,bev,car,124,135.4,110
hyundai,ioniq,2017,blue,bev,car,124,135.4,110
hyundai,ioniq,2017,limited,bev,car,124,135.4,110
hyundai,ioniq,2017,se,bev,car,124,135.4,110
hyundai,ioniq,2017,sel,bev,car,124,135.4,110
hyundai,ioniq,2017,unknown,bev,car,124,135.4,110
hyundai,ioniq,2018,base,bev,car,124,135.4,110
hyundai,ioniq,2018,limited,bev,car,124,135.4,110
hyundai,ioniq,2019,base,bev,car,124,135.4,110
hyundai,ioniq,2019,limited,bev,car,124,135.4,110
hyundai,ioniq,2020,limited,bev,car,170,183.8,153.3
hyundai,ioniq,2020,se,bev,car,170,183.8,153.3
hyundai,ioniq,2021,limited,bev,car,170,183.8,153.3
hyundai,ioniq,2021,se,bev,car,170,183.8,153.3
kia,niro,2019,ex,bev,car,239,259,213.6
kia,niro,2019,ex premium,bev,car,239,259,213.6
kia,niro,2020,ex,bev,car,239,259,213.6
kia,niro,2020,ex premium,bev,car,239,259,213.6
kia,niro,2021,ex,bev,car,239,259,213.6
kia,niro,2021,ex premium,bev,car,239,259,213.6
kia,niro,2022,ex,bev,car,239,259,213.6
kia,niro,2022,ex premium,bev,car,239,259,213.6
nissan,leaf,2011,3.2,bev,car,73,NA,NA
nissan,leaf,2011,sl,bev,car,73,NA,NA
nissan,leaf,2011,sv,bev,car,73,NA,NA
nissan,leaf,2011,unknown,bev,car,73,NA,NA
nissan,leaf,2012,ex,bev,car,73,77.165,67.316
nissan,leaf,2012,sl,bev,car,73,77.165,67.316
nissan,leaf,2012,sv,bev,car,73,77.165,67.316
nissan,leaf,2012,unknown,bev,car,73,77.165,67.316
nissan,leaf,2012,v6,bev,car,73,77.165,67.316
nissan,leaf,2013,lx,bev,car,75,82,65.6
nissan,leaf,2013,rts,bev,car,75,82,65.6
nissan,leaf,2013,s,bev,car,75,82,65.6
nissan,leaf,2013,sl,bev,car,75,82,65.6
nissan,leaf,2013,sv,bev,car,75,82,65.6
nissan,leaf,2013,unknown,bev,car,75,82,65.6
nissan,leaf,2014,ex-l,bev,car,84,92,74
nissan,leaf,2014,platinum,bev,car,84,92,74
nissan,leaf,2014,s,bev,car,84,92,74
nissan,leaf,2014,sl,bev,car,84,92,74
nissan,leaf,2014,sv,bev,car,84,92,74
nissan,leaf,2014,unknown,bev,car,84,92,74
nissan,leaf,2015,s,bev,car,84,92,74
nissan,leaf,2015,sl,bev,car,84,92,74
nissan,leaf,2015,sv,bev,car,84,92,74
nissan,leaf,2015,unknown,bev,car,84,92,74
nissan,leaf,2016,s,bev,car,84,92,74
nissan,leaf,2016,sl,bev,car,107,116,95
nissan,leaf,2016,sv,bev,car,107,116,95
nissan,leaf,2017,s,bev,car,107,116,95
nissan,leaf,2017,sl,bev,car,107,116,95
nissan,leaf,2017,sv,bev,car,107,116,95
nissan,leaf,2017,unknown,bev,car,107,116,95
nissan,leaf,2018,s,bev,car,151,166,132.8
nissan,leaf,2018,sl,bev,car,151,166,132.8
nissan,leaf,2018,sv,bev,car,151,166,132.8
nissan,leaf,2018,unknown,bev,car,151,166,132.8
nissan,leaf,2019,s,bev,car,150,165.2,132.4
nissan,leaf,2019,s plus,bev,car,226,245,202.2
nissan,leaf,2019,sl plus,bev,car,215,233.7,192.5
nissan,leaf,2019,sv plus,bev,car,215,233.7,192.5
nissan,leaf,2020,s,bev,car,149,163.2,131.3
nissan,leaf,2020,s plus,bev,car,226,245.0238,202.181
nissan,leaf,2020,sl plus,bev,car,215,233.6614,192.4944
nissan,leaf,2020,sv plus,bev,car,215,233.6614,192.4944
nissan,leaf,2021,s,bev,car,149,163.2,131.3
nissan,leaf,2021,s plus,bev,car,226,245,202.2
nissan,leaf,2021,sl plus,bev,car,215,233.7,192.5
nissan,leaf,2021,sv plus,bev,car,215,233.7,192.5
nissan,leaf,2022,s plus,bev,car,149,NA,NA
nissan,leaf,2022,sl plus,bev,car,215,NA,NA
nissan,leaf,2022,sv plus,bev,car,215,NA,NA
tesla,model 3,2017,base,bev,car,310,321.8584,295.4857
