age_months,powertrain,vehicle_type,miles25,miles50,miles75
0,bev,car,97,776,793
0,bev,suv,7.75,8,834
0,conventional,car,66,1812,4049
0,conventional,pickup,37,992,2920
0,conventional,suv,17.5,1693,5246
0,hybrid,car,85.5,458,4054.25
0,hybrid,suv,6,6,6
0,phev,car,2084,2375,7442
1,bev,car,4.25,27.5,600.25
1,bev,suv,32,115.5,1236.5
1,conventional,car,25,1777,4408.25
1,conventional,pickup,10,517.5,2771.75
1,conventional,suv,20,2027,5300
1,hybrid,car,45.5,2014,2459
1,hybrid,suv,5,113,2215
1,phev,car,2015,3318,7430
2,bev,car,6,231,1896
2,bev,suv,21.75,507,2435
2,conventional,car,207,2855,6225.5
2,conventional,pickup,36,1333,3750.5
2,conventional,suv,185,2873,8787
2,hybrid,car,140,2149.5,4441.75
2,hybrid,suv,12,791,4267
2,phev,car,2007.5,3239.5,8040
3,bev,car,10,122.5,1016.75
3,bev,suv,62.5,783,1912.5
3,conventional,car,441,3417,7464.5
3,conventional,pickup,264,2426,6261
3,conventional,suv,605.75,4000,11945
3,hybrid,car,435.25,2291.5,7203.75
3,hybrid,suv,10,1120,4213
3,phev,car,2246,5120,9195.5
4,bev,car,8,278.5,2085
4,bev,suv,604.5,2000,3761.5
4,conventional,car,1395,4312,10164
4,conventional,pickup,1000.25,4129.5,11034
4,conventional,suv,1158,5026,13414.5
4,hybrid,car,1184,2638,11878
4,hybrid,suv,179,2679,5009.5
4,phev,car,2010.5,3265,7239
5,bev,car,10,370,2556
5,bev,suv,817,2421.5,4061
5,conventional,car,1955,4850,11988
5,conventional,pickup,1788,6040,12468.5
5,conventional,suv,2350,7070,14552
5,hybrid,car,1068,3708,14393
5,hybrid,suv,795.5,3472,5789.5
5,phev,car,1723.25,2707,6519.75
6,bev,car,49.5,1346.5,3736
6,bev,suv,610,2219,4476
6,conventional,car,2526,5780,13214
6,conventional,pickup,2432,7155.5,13104
6,conventional,suv,3126,8653,15349
6,hybrid,car,2065,5477,15113
6,hybrid,suv,1542,4325,6663
6,phev,car,1905,3048,7408
7,bev,car,190,1287,4089
7,bev,suv,746,2963,5381.75
7,conventional,car,3146.5,6897,14800
7,conventional,pickup,2869.5,7711.5,13538.5
7,conventional,suv,3638,8957,15774
7,hybrid,car,2239.75,6876,15684.5
7,hybrid,suv,1636,4589,7486
7,phev,car,2068.75,3827.5,7500.25
8,bev,car,399.75,2128.5,4920.5
8,bev,suv,1360,3473,6506.5
8,conventional,car,3619,7785,16000
8,conventional,pickup,3092,8073.5,14220
8,conventional,suv,4058,9796,16906
8,hybrid,car,2419,7838,16221
8,hybrid,suv,1066,4568,7732.5
8,phev,car,2076.5,3605,8428.5
9,bev,car,301.5,1688,4930.5
9,bev,suv,1266.5,3784,6644
9,conventional,car,4148,9082,17821
9,conventional,pickup,3476,8701,14901
9,conventional,suv,4700,11410,18674
9,hybrid,car,3329.25,11807.5,19067.25
9,hybrid,suv,2562,4880.5,7681
9,phev,car,2311,5007,9250
10,bev,car,272,1683,5600
10,bev,suv,1692.25,4505,8079.75
10,conventional,car,4592,10269,19387
10,conventional,pickup,4000,9691,15984
10,conventional,suv,5560,13002,20253.5
10,hybrid,car,3745.5,11815,19378.5
10,hybrid,suv,2806,5737,9988
10,phev,car,2837.5,5874,11506.5
11,bev,car,1071.25,3587.5,7233.75
11,bev,suv,2196,5036,9256.5
11,conventional,car,5358,12180,21773
11,conventional,pickup,4755,10790.5,16920.75
11,conventional,suv,6492.5,14310,21815.5
11,hybrid,car,4925,13532,21294.5
11,hybrid,suv,3833,6424,10270
11,phev,car,2891,6675,12139
12,bev,car,1604,4019,8098.5
12,bev,suv,2320,5347,9154
12,conventional,car,6801,14238,24052
12,conventional,pickup,5915,12137,18345
12,conventional,suv,7942,15764.5,23471
12,hybrid,car,9133,17000,25141.5
12,hybrid,suv,4335.25,7356.5,11754.25
12,phev,car,3828,8487,13921
13,bev,car,2640,5227,9155
13,bev,suv,3162.25,6202.5,10569
13,conventional,car,7648,15250,26081
13,conventional,pickup,6998,13065,19681
13,conventional,suv,8900,16454,24596
13,hybrid,car,10672.75,18496,27740.5
13,hybrid,suv,4788,8559,12820
13,phev,car,4503,9712,14997
14,bev,car,2741.25,5754,10123
14,bev,suv,3529,7000,11419
14,conventional,car,8779,16900,28921.25
14,conventional,pickup,7785.25,13880,20599.75
14,conventional,suv,9921,17527,26059
14,hybrid,car,12285.5,20617,30805.5
14,hybrid,suv,5929.5,9727.5,14156
14,phev,car,5958,10332,16462
15,bev,car,2351.75,5527.5,9883.25
15,bev,suv,3335.75,6837.5,11699.5
15,conventional,car,9313,17823,30507
15,conventional,pickup,8375.5,14358,21422
15,conventional,suv,10058,17910,26944
15,hybrid,car,11235,20741,33166
15,hybrid,suv,6617.5,10354,15257.5
15,phev,car,5911,11644.5,17547.5
16,bev,car,2794.75,6314.5,11218.75
16,bev,suv,2645,4547,7789
16,conventional,car,10335,19580,32479
16,conventional,pickup,9145,15043,22096.25
16,conventional,suv,10900,19039,28617
16,hybrid,car,11803,21321,33440
16,hybrid,suv,6931,11021,16355
16,phev,car,6017.5,11505,18383.5
17,bev,car,3075.5,6506.5,11927.25
17,bev,suv,2761.5,5500,9273
17,conventional,car,11389,21275,34068
17,conventional,pickup,9558,15523,22771
17,conventional,suv,11409.25,19783.5,30172
17,hybrid,car,13904,24805,34591
17,hybrid,suv,7854,12040,16842
17,phev,car,6262,11710,18466
18,bev,car,3762,7465.5,12887.5
18,bev,suv,3310,7335,11886
18,conventional,car,12500,23178.5,35309
