age_months,powertrain,vehicle_type,quantile,mileage,age_years
0,bev,car,1,11.560000000000002,0
0,bev,car,5,25.799999999999997,0
0,bev,car,10,43.599999999999994,0
0,bev,car,15,61.400000000000006,0
0,bev,car,20,79.2,0
0,bev,car,25,97,0
0,bev,car,30,232.80000000000013,0
0,bev,car,35,368.5999999999999,0
0,bev,car,40,504.4000000000001,0
0,bev,car,45,640.1999999999998,0
0,bev,car,50,776,0
0,bev,car,55,779.4,0
0,bev,car,60,782.8,0
0,bev,car,65,786.2,0
0,bev,car,70,789.6,0
0,bev,car,75,793,0
0,bev,car,80,831.6,0
0,bev,car,85,870.2,0
0,bev,car,90,908.8,0
0,bev,car,95,947.4,0
0,bev,car,99,978.28,0
0,bev,suv,1,3312,0
0,bev,suv,5,3312,0
0,bev,suv,10,3312,0
0,bev,suv,15,3312,0
0,bev,suv,20,3312,0
0,bev,suv,25,3312,0
0,bev,suv,30,3312,0
0,bev,suv,35,3312,0
0,bev,suv,40,3312,0
0,bev,suv,45,3312,0
0,bev,suv,50,3312,0
0,bev,suv,55,3312,0
0,bev,suv,60,3312,0
0,bev,suv,65,3312,0
0,bev,suv,70,3312,0
0,bev,suv,75,3312,0
0,bev,suv,80,3312,0
0,bev,suv,85,3312,0
0,bev,suv,90,3312,0
0,bev,suv,95,3312,0
0,bev,suv,99,3312,0
0,conventional,car,1,0.6099999999999994,0
0,conventional,car,5,5,0
0,conventional,car,10,7,0
0,conventional,car,15,11,0
0,conventional,car,20,16.200000000000003,0
0,conventional,car,25,44.75,0
0,conventional,car,30,221,0
0,conventional,car,35,404.35,0
0,conventional,car,40,855.4,0
0,conventional,car,45,1367.2000000000003,0
0,conventional,car,50,1784,0
0,conventional,car,55,2146.7500000000005,0
0,conventional,car,60,2612,0
0,conventional,car,65,3009.3,0
0,conventional,car,70,3457.1,0
0,conventional,car,75,3973,0
0,conventional,car,80,4499.8,0
0,conventional,car,85,5162.2,0
0,conventional,car,90,6344.200000000002,0
0,conventional,car,95,8953.149999999998,0
0,conventional,car,99,15770.379999999976,0
0,conventional,pickup,1,0.8399999999999999,0
0,conventional,pickup,5,2,0
0,conventional,pickup,10,5,0
0,conventional,pickup,15,7,0
0,conventional,pickup,20,10.400000000000002,0
0,conventional,pickup,25,37,0
0,conventional,pickup,30,128.60000000000002,0
0,conventional,pickup,35,229.2,0
0,conventional,pickup,40,355.0000000000002,0
0,conventional,pickup,45,625.2000000000008,0
0,conventional,pickup,50,992,0
0,conventional,pickup,55,1316.9,0
0,conventional,pickup,60,1644.4,0
0,conventional,pickup,65,2017.5,0
0,conventional,pickup,70,2513.3999999999996,0
0,conventional,pickup,75,2920,0
0,conventional,pickup,80,3477,0
0,conventional,pickup,85,3998.2,0
0,conventional,pickup,90,4563.600000000002,0
0,conventional,pickup,95,6135.9000000000005,0
0,conventional,pickup,99,16884.520000000015,0
0,conventional,suv,1,0,0
0,conventional,suv,5,2.400000000000002,0
