term,estimate,std.error,statistic,p.value
(Intercept),-7.5092644890709295,3.6778266921092087,-2.0417668144021266,0.04117670085131763
age_years,12.901505960284204,0.3987239196925472,32.35699019570346,9.222374614951006e-229
cents_per_mile,-3.814151481074929,0.27837143144682036,-13.701662779298452,1.0632278392121357e-42
range,0.44429641734025016,0.04585061969735776,9.690085330860942,3.381067214809139e-22
modelprius plug-in,5.908700284172355,1.0684073173502673,5.5303817076303705,3.2015296411936204e-8
modeli8,18.727798688705455,1.5861105945225025,11.807372546013065,3.7150074121822644e-32
modelfusion energi,6.684728585342577,0.9541452811676434,7.00598610849082,2.464482801080421e-12
modelsonata plug-in hybrid,0.2674800569114414,2.2780459191936595,0.11741644655087508,0.906530234874759
modelelr,0.632718835854152,1.7892626310014486,0.3536198794360445,0.7236243530566091
modelvolt,-1.8309918213227592,1.3322255485088956,-1.374385758756925,0.16932434674000618
stateAL,11.865383968112049,3.0345436236560985,3.9101049250418485,9.230327257831695e-5
stateAR,13.635245866636431,3.243027181086228,4.204480907887244,2.618584399849246e-5
stateAZ,10.360901301071436,2.896248737000184,3.57735203082137,3.472197978664184e-4
stateCA,15.281645474585181,2.8550787198672953,5.352442777933449,8.692263786699547e-8
stateCO,6.6950432848522485,2.9251243287434736,2.2888064001464836,0.022092214830491598
stateCT,10.34140919942333,2.904577469501377,3.5603833287320166,3.704471503570474e-4
stateDE,7.622144780682889,3.1159713728495357,2.4461536608125147,0.0144402730385321
stateFL,8.187541565859297,2.9140650877372347,2.8096632433892905,0.004960083666765486
stateGA,6.956656851993804,2.9140472806404407,2.387283452197416,0.01697483251026868
stateHI,2.8266417540958972,3.103174124100034,0.910887253197777,0.36235648757912065
stateIA,9.430026512931963,2.968756955421595,3.1764225413301976,0.0014913875705676858
stateID,4.829659956004087,3.0518313379747006,1.582544846403345,0.11352769872316112
stateIL,9.129758283730991,2.911980596070798,3.135240082317164,0.0017175210736558434
stateIN,11.040850728694197,2.9312322059811384,3.766624393033583,1.6554324091294453e-4
stateKS,8.090023381390871,2.954370300329805,2.738324095827716,0.00617616704845037
stateKY,10.56678959361535,3.0161730790886296,3.503376403322393,4.5955552945800283e-4
stateLA,7.363744734688567,3.289297304710896,2.238698436940404,0.025177245522211057
stateMA,8.361372400398317,2.88322195671732,2.9000099631310112,0.003732138712832308
stateMD,7.94815817406962,2.9016011841508926,2.7392317791583483,0.006159141240670126
stateME,7.873385953605909,3.016405849461177,2.610187868125351,0.009050298500652396
stateMI,12.46987818167389,2.8931811452634064,4.310092439973572,1.633072318985885e-5
stateMN,7.194373506426801,2.9269617346713006,2.457966368745416,0.01397393316982951
stateMO,8.712214119878686,2.936352908207357,2.9670187447589504,0.003007578547208921
stateMS,6.354416678818556,3.0418681091697874,2.088984943056212,0.03671103680934051
stateMT,3.956308033564912,3.6060606690164425,1.0971274187253206,0.2725877473691374
stateNC,8.65585657006605,2.9310997832338668,2.9531088022244294,0.003146478606080977
stateND,2.5193652355651186,3.6573060387816607,0.6888581947614046,0.49091375059189535
stateNE,7.365406494725007,3.0705457403674927,2.39872879856318,0.016453507709233203
stateNH,9.225054234222396,2.9848003540053476,3.0906771442328327,0.0019974322544131966
stateNJ,9.324528785653586,2.8988680291195084,3.2166103085713025,0.0012974669128471656
