term,estimate,std.error,statistic,p.value
(Intercept),-13.213097676395336,11.17894209837922,-1.1819631553786325,0.23724269030701606
age_years,12.38834297441828,1.872844107885422,6.614721920665156,3.8733706798127954e-11
cents_per_mile,-0.11992091427387055,0.5440068247038051,-0.22044009160944586,0.8255320063882525
range,0.012245261460754754,0.028883439822279235,0.42395440211069924,0.6716063259302724
modelmodel x,7.7954617902205925,3.4208148653772037,2.278831827211733,0.022693765686627548
stateAL,4.387794326157157,7.920807648709197,0.5539579447901638,0.5796174863017158
stateAR,1.2810864112676723,8.689279255165825,0.14743298881849828,0.8827926344161948
stateAZ,2.0787229771572537,7.709515090471511,0.26963083316698194,0.7874487051588623
stateCA,4.7520558780524755,7.368289832883168,0.6449333543918189,0.5189821512769701
stateCO,2.851435644003331,7.688610559317415,0.3708648815029172,0.7107444259163576
stateCT,6.497204137262697,7.604892587935016,0.854345286555442,0.39292999115587
stateDC,4.181962308319897,8.102668063684433,0.5161216373978279,0.6057785393865855
stateDE,-4.249378352016762,8.053635046368594,-0.5276348291859609,0.5977621316163129
stateFL,-0.3822442226669748,7.7453722642954235,-0.04935130418831412,0.960640118932842
stateGA,1.9650680421345532,7.735694351704197,0.25402607093720586,0.799479573793485
stateHI,1.4132295459871107,7.933443443223656,0.1781357056492562,0.858619273339578
stateIA,-0.6323517498225296,8.245435825371345,-0.07669112503147167,0.9388704860787433
stateID,-2.492814109781227,9.28496394574419,-0.26847859876976915,0.7883353539846383
stateIL,1.6434876294085763,7.659862083946331,0.21455838387130044,0.8301151252017647
stateIN,3.1206707501570543,7.736899397843976,0.4033490148555744,0.6866983522977204
stateKS,2.5258710254502326,8.065037595510264,0.3131877558582446,0.7541432188943822
stateKY,0.9923996564773487,8.377620346438801,0.11845841843372655,0.9057063340731617
stateLA,-2.7847478749302748,8.784500755980446,-0.31700695944893986,0.7512435887538782
stateMA,7.859162902537966,7.402616049391934,1.0616737177910953,0.2884042415895887
stateMD,1.4327141917619026,7.684773682542063,0.1864354437680684,0.8521063095438135
stateME,1.3022504635478127,9.269470954385106,0.1404881109133588,0.8882765975584956
stateMI,4.487309323453833,7.57773635840674,0.5921701562598721,0.5537473076532544
stateMN,3.9798414872373353,7.7645913902193975,0.5125629008952756,0.6082661205244253
stateMO,-0.5151284014031374,7.877595415217259,-0.06539157880691066,0.9478632692544812
stateMS,-3.1721261831169527,8.438353228926859,-0.375917681692067,0.7069844418111993
stateMT,-4.3209745016685055,11.52422710550045,-0.37494701051197854,0.7077062046081204
stateNC,0.7492974629715367,7.788873446800142,0.09620100622887462,0.9233624659974071
stateND,-7.270979199963495,12.995410628397368,-0.5595036130736081,0.5758280396913046
stateNE,2.9035127575301076,7.982161330303595,0.3637501971436194,0.7160506759177654
stateNH,1.9308990907197325,7.901895083358805,0.24435898861605468,0.8069567916849865
stateNJ,0.7679145257188356,7.515670600346129,0.1021751173718909,0.9186193083922618
stateNM,-5.099531562974467,9.237115476789537,-0.55206969922464,0.5809104206434297
stateNV,1.6688729919462157,7.81492970153282,0.21354932874429863,0.8309019826151066
stateNY,2.603372632626662,7.424800027994574,0.3506320200962811,0.7258703096677678
stateOH,1.3429291532602565,7.74339717526323,0.17342893859949846,0.8623170739103913
stateOK,-1.3297649235825038,8.338594569681014,-0.15947110900648725,0.8733002820699238
stateOR,-0.928043578348614,7.815813191904323,-0.11873922208246844,0.9054838599006546
statePA,0.21040745213069742,7.6685003873107,0.02743788765778313,0.9781109154084175
stateRI,8.462634923986714,11.196175546208767,0.7558505035098632,0.44975300335483137
stateSC,4.711454277307524,7.958145295760055,0.5920291854708528,0.5538416980115609
stateTN,2.1403440911722633,7.872782500050215,0.2718662799535757,0.7857293067487016
stateTX,0.9022690286406952,7.744486908533507,0.1165046876955143,0.9072544332379682
stateUT,2.878188905098468,7.9051240757373895,0.3640915534687532,0.7157957707728534
stateVA,2.4572312309802338,7.753536841699361,0.3169174637521522,0.7513114960154136
stateVT,19.4192143143435,9.505397863619526,2.042967016527273,0.04107652547828465
stateWA,-1.0975001744110024,7.9059166888616765,-0.13882010367718972,0.8895945322376717
stateWI,4.309258317402953,7.762892750503613,0.5551098612206632,0.5788294006918944
my2016,-3.406138375392575,1.6405957625989291,-2.0761594373477985,0.03789949204782462
my2017,-1.6816322932078158,1.614445686402253,-1.0416158978722203,0.297609837510769
my2018,-2.410090865441607,1.6236078353531258,-1.4844045544516762,0.1377267138138144
my2019,-1.5788707910103532,1.2736354228738378,-1.2396567829809417,0.21512552214216948
age_years:cents_per_mile,-0.372796415455946,0.10248160325743086,-3.637691093878499,2.7619455482676597e-4
age_years:range,-0.005784631618066519,0.0075459849216169645,-0.7665840414675755,0.44334326973928617
age_years:modelmodel x,0.47287281502748546,0.9996696134246819,0.47302909749103134,0.6362006375222321
