term,estimate,std.error,statistic,p.value
(Intercept),-33.219026425853336,1.636043742326661,-20.304485489252066,1.1780976182401333e-91
age_years,16.644064988126484,0.04900961136730906,339.6081814113016,0
cents_per_mile,1.0966200863943718,0.014905660981093024,73.57071167695089,0
modelacadia,-3.295778591894352,0.1623790604123277,-20.296820190518478,1.376964755804963e-91
modelcherokee,4.087683534378894,0.15437930710627834,26.478182931374583,1.747799357267934e-154
modelcompass,6.632407403437188,0.16423626922823767,40.38332966648306,0
modelcr-v,-1.6727255563999914,0.14798977608959932,-11.302980520676321,1.2688505717777057e-29
modelcx-5,2.784698173583305,0.22462961313383856,12.396843562759152,2.719650061886104e-35
modeledge,-5.1494204551570375,0.16517382908753322,-31.175764850908205,2.3184238858157264e-213
modelenclave,-4.078043482866951,0.17508688094791067,-23.291542237708786,5.435981202016789e-120
modelencore,-0.5551564867028729,0.19232759860256718,-2.886514939803666,0.003895349887381625
modelequinox,3.7651649014803805,0.16195104709937827,23.248783931418217,1.4728964428677318e-119
modelescape,2.796505832872407,0.14074789554466402,19.868899794561987,7.590437992429666e-88
modelexpedition,4.341511936067811,0.22897783358740317,18.96040270819757,3.6339921948577374e-80
modelexplorer,-0.9552593368872337,0.1573839048712257,-6.069612630775961,1.282231871938739e-9
modelforester,5.74858827528235,0.16558961273695597,34.715874868396206,4.686817105764874e-264
modelgrand cherokee,-0.5086662815693619,0.15468103367767197,-3.2884851456923467,0.0010072840636817296
modelhighlander,-1.6753599584231864,0.15083068919103504,-11.107553558289815,1.1531379364044872e-28
modeljourney,0.7149375723937483,0.17020261961912578,4.200508629030586,2.6631804933020858e-5
modelmdx,-1.0064594748723057,0.17869939611954647,-5.63213696703823,1.779944299216124e-8
modelmurano,-3.346246777012593,0.20931879147439478,-15.986365836733428,1.592735412432316e-57
modelpathfinder,2.0779173767761088,0.1684165580505202,12.337963682601757,5.659780781667094e-35
modelpatriot,6.79235054485633,0.17386067466023641,39.067779750251965,0
modelpilot,-3.3512373608041233,0.15132123312870965,-22.14651104484229,1.1331961251496749e-108
modelrav4,1.8468498280376906,0.14598206759455842,12.651210237458873,1.1022766813052741e-36
modelrogue,6.2583859891540135,0.15668575039957713,39.942279200208006,0
modelrx,-3.0911997958372464,0.162514887732921,-19.021025328567823,1.145598198936783e-80
modelsanta fe,6.784974594694082,0.16653616087092793,40.741749775009545,0
modelsorento,6.444344423477332,0.15117872593810186,42.62732327904314,0
modelsportage,7.034385715920084,0.18076403254543544,38.91474214679281,0
modelterrain,0.5033834414876969,0.18816142555089238,2.675274382163659,0.007466821924712019
modeltiguan,1.7689284062680797,0.18195074729897587,9.722017812663506,2.4296804329310015e-22
modeltraverse,-1.3761328650776543,0.14522697957714975,-9.475738386107544,2.6492878177562672e-21
modeltrax,-0.38478582826411284,0.22990532639146485,-1.6736707857256405,0.09419534596007924
modeltucson,5.022216606953919,0.17436656226011585,28.802635905970877,2.0184417461680304e-182
modelwrangler,0.6477587887940145,0.19605258118234165,3.304005409607725,9.531428829234698e-4
modelwrangler unlimited,0.3156470272292973,0.14519748581742672,2.173915240007641,0.029711521920839503
stateAL,11.186224876680694,0.1971974281018729,56.726018104565995,0
