term,estimate,std.error,statistic,p.value
(Intercept),-23.33957001621328,0.2916599743447128,-80.0232190538022,0
age_years,11.827211217002159,0.029359756313516505,402.8375130469732,0
cents_per_mile,1.2118132161525335,0.012773096754208797,94.87231166187128,0
model5 series,-1.4347160193418398,0.1750664358162017,-8.19526605801306,2.5006355292368296e-16
modelaccord,-1.6434506416668875,0.12629387993429306,-13.012908008859384,1.0339575733718271e-38
modelaltima,11.144103571806836,0.13080190484364332,85.19832784643438,0
modelavalon,0.5469000142902286,0.23562179499333266,2.321092640456729,0.020281861091884297
modelcamaro,1.4441437964897426,0.16528791791263964,8.737140710145688,2.3911425371129774e-18
modelcamry,3.9174317935233836,0.12566369866499766,31.173933563476627,2.4516864131699723e-213
modelchallenger,-0.08801225061239087,0.17682864327677617,-0.4977262109885225,0.6186770401439408
modelcharger,0.6808739810568845,0.16517915762036364,4.122033256894058,3.7554547428111305e-5
modelcivic,-1.3692110479022714,0.12786947837603316,-10.70788013911931,9.350369721014781e-27
modelcorolla,9.911718372518028,0.1304939632068218,75.95537853968615,0
modelcruze,3.1546349477194635,0.13437081121487807,23.477084935319418,7.037979226416334e-122
modelelantra,11.679023538536516,0.13892771586311237,84.06546862142352,0
modeles,-5.298623375932287,0.18277017760569406,-28.990634278221616,8.762942778503277e-185
modelfocus,3.096296737696605,0.20856431611107557,14.845764584424899,7.418039720126136e-50
modelforte,4.993474951032772,0.17813029038649308,28.032711001583856,6.574380162311414e-173
modelfusion,5.231745828363433,0.13194983792222625,39.6495055298751,0
modeljetta,1.915345189737718,0.14744059234398027,12.990623269263596,1.3837883160414167e-38
modelmalibu,6.097611007508114,0.13739915632772073,44.378809670157345,0
modelmaxima,-0.3575868926306656,0.17909533772703848,-1.9966287071954292,0.04586555439985517
modelmazda3,-0.2917471180251388,0.3110953467474443,-0.9378061133842258,0.3483440775993246
modelmkz,-3.293390043670771,0.23919615484698245,-13.768574355961553,3.942064893660222e-43
modelmustang,3.7288254785061894,0.15159101689419477,24.59793169082558,1.3393847520178148e-133
modeloptima,3.2665460513305975,0.14847474746668804,22.000684339021916,2.850532590494504e-107
modeloutback,0.8998908669974146,0.15132823850267532,5.946615621125502,2.7375069172679564e-9
modelsentra,8.681361790774156,0.13696279669177175,63.38481690258668,0
modelsonata,5.358334768489144,0.13649920407211838,39.25542866651519,0
modelsoul,7.079563463074793,0.1556194523978154,45.49279253969522,0
modelspark,10.756366214522293,0.26945217998300974,39.91938835009809,0
stateAL,15.865503576409921,0.2427529076711211,65.35659543120417,0
stateAR,15.492139004485225,0.24877670040640293,62.27327148875753,0
stateAZ,8.803352240391018,0.240809870955096,36.557273194306,1.4182118318534043e-292
stateCA,7.565434407468658,0.2379975940289442,31.78786087454558,9.729731509008498e-222
stateCO,6.762483644858155,0.24341355538003015,27.781869560633986,7.273537599422972e-170
stateCT,3.4066789506413824,0.24450165101978322,13.933153156359422,3.9868685688065035e-44
stateDC,0.3718546099655855,6.621056331892279,0.056162429577050664,0.9552124116842189
stateDE,3.934229992192365,0.2653924765697701,14.824195632983889,1.0230003645874377e-49
stateFL,7.859886936773911,0.23805759401300564,33.01674525175831,4.787754134821679e-239
stateGA,10.183400200203826,0.23896614690238102,42.614405145695386,0
stateHI,-2.9489476186530226,0.27108653781949377,-10.878251802443302,1.463858385148811e-27
stateIA,7.8916939483957504,0.24754752563834156,31.87951052245719,5.246689691653521e-223
stateID,7.321169562603297,0.26014599581625086,28.142541804773597,2.9957075282098667e-174
stateIL,6.668149612179879,0.23959528277640832,27.830888550517223,1.8580570134660475e-170
stateIN,8.865770854147748,0.24120896646542808,36.755560890056955,9.841712918570662e-296
stateKS,8.762429569267297,0.24759504094509557,35.39016587658706,2.4991305313324367e-274
stateKY,12.065700134119853,0.24356159052072,49.53859969597059,0
stateLA,15.315027444463404,0.24486939092647578,62.54365801506762,0
stateMA,3.401514394810142,0.24129555576732994,14.096879588159775,3.9726518008343406e-45
stateMD,5.8498798028703005,0.24089394107498363,24.284047065548215,2.911083375524247e-130
stateME,6.838226461416801,0.26524959173052437,25.78034679263136,1.4867093126682644e-146
stateMI,8.747009099547093,0.24143968010548186,36.228548247436535,2.2421457465164824e-287
stateMN,7.259729832559812,0.24333083040601672,29.834813042171348,1.4048526766125286e-195
stateMO,10.621233636022138,0.24189548322678642,43.908358661101246,0
stateMS,16.677346458385664,0.24740744666855316,67.40842558683359,0
stateMT,4.577035906504582,0.2979693260749324,15.36076201801243,3.0037669336648317e-53
stateNC,11.323866165559563,0.23923559100057504,47.33353477297759,0
stateND,4.945978369976949,0.29319329516433573,16.86934337023196,7.57604056350793e-64
stateNE,5.841957436032997,0.2544968334518378,22.954931724675294,1.3231169501640581e-116
stateNH,6.3794789202362825,0.251929025416179,25.322524507438473,1.820089573870737e-141
stateNJ,3.5679981260806355,0.24013504466110602,14.858298300924895,6.152944085082959e-50
stateNM,10.168070292070125,0.25800629121092167,39.41016416439887,0
stateNV,6.113282531906618,0.24766599745053464,24.68357624718993,1.6178386110613139e-134
stateNY,0.2225300031309418,0.239396963582462,0.9295439666438782,0.3526072694948442
stateOH,6.581100148274695,0.23904660607680803,27.530615289974552,7.643507440359605e-167
stateOK,14.316207020532861,0.24514852136483084,58.39809655318065,0
stateOR,5.305848352560743,0.24331971258995028,21.806076852894854,2.041277388309461e-105
statePA,1.1830466706927394,0.23940821927465936,4.941545759276951,7.750665583287703e-7
stateRI,4.443818257321716,0.2685217785795654,16.549191208358444,1.625222992047806e-61
stateSC,13.125899958128276,0.24285295891454828,54.04875450888303,0
stateSD,6.548251052033196,0.2774089116859683,23.605049355609488,3.4425397063684165e-123
stateTN,13.161493746477268,0.24095423447069264,54.622379952729595,0
stateTX,12.181375793433979,0.2380624001104164,51.16883551448738,0
stateUT,9.919864559512146,0.24558326357141919,40.39308060024744,0
stateVA,8.598131653921156,0.2399072949480105,35.83939227768971,2.7843924892278605e-281
stateVT,4.54664104180141,0.2827877977824019,16.077925134874228,3.648888930255236e-58
stateWA,5.036996299210768,0.24233289609979325,20.785441763286325,5.885054915543949e-96
stateWI,6.422656775685538,0.24238349900166226,26.49791261426378,1.0349887255047269e-154
stateWV,7.043068315910381,0.26308411794632264,26.771164944846223,7.077913410943598e-158
stateWY,4.688241339224634,0.34755921280747204,13.489043496659235,1.815650848613021e-41
age_years:cents_per_mile,-0.13931617550826197,0.0019297218386368916,-72.19495199716013,0
age_years:model5 series,0.8630887922045322,0.034981981684174046,24.672381341820785,2.1335705540072841e-134
age_years:modelaccord,2.2399797292886907,0.02592217225659716,86.4117291990689,0
age_years:modelaltima,1.1648495717190879,0.027413403566919712,42.49197181501149,0
age_years:modelavalon,0.6417981177119598,0.04685608223133304,13.697221089534118,1.0556254023421521e-42
age_years:modelcamaro,-1.3735054973226446,0.03197740298908212,-42.95237789609099,0
age_years:modelcamry,1.658708607895636,0.025967736173465632,63.87574938436638,0
age_years:modelchallenger,-1.028009850109139,0.036808608695164204,-27.928516902737364,1.2176829258589126e-171
age_years:modelcharger,2.297592298192897,0.034855667629769105,65.91732290419814,0
age_years:modelcivic,1.506961188485462,0.02594753396671857,58.07724119056383,0
age_years:modelcorolla,0.23457203315825387,0.02753136776082183,8.520173614187765,1.593322033422579e-17
age_years:modelcruze,2.271163412699027,0.026953850851863897,84.26118498544608,0
age_years:modelelantra,0.2872082912881854,0.028890214496591467,9.941369293816456,2.750771977219418e-23
age_years:modeles,0.6853026517721346,0.03854933588695434,17.77728814270056,1.0620495922261163e-70
age_years:modelfocus,1.9104112216002125,0.03845586002655277,49.67802619109606,0
age_years:modelforte,1.878992169082482,0.0394067655267357,47.68196891997317,0
age_years:modelfusion,2.076350952581274,0.02706378657329421,76.72063726035141,0
age_years:modeljetta,1.397478781356284,0.030758757069056303,45.43352575069313,0
age_years:modelmalibu,1.7646193663747132,0.02811721991466886,62.75938274587754,0
age_years:modelmaxima,2.140486824989691,0.0376308193103568,56.88121768851797,0
age_years:modelmazda3,1.7041215071714935,0.04911549895737641,34.69620676459727,9.262031873548065e-264
age_years:modelmkz,0.6156750625206587,0.05019112003158797,12.266613339833448,1.3692400633351053e-34
age_years:modelmustang,-1.5139669312893393,0.030571904851851815,-49.52151129037792,0
age_years:modeloptima,1.804321371774294,0.030577443203726327,59.00824865417165,0
age_years:modeloutback,3.1371653855918273,0.03123840793467286,100.42654517324975,0
age_years:modelsentra,0.4673148463592615,0.029536703768841675,15.821496197291752,2.21463357186408e-56
age_years:modelsonata,1.6048896359536682,0.02746195198386706,58.44047928189828,0
age_years:modelsoul,0.7771277654618308,0.031840868409758735,24.406613395746867,1.4656837530272975e-131
age_years:modelspark,-0.742552382950156,0.05835720568784913,-12.724262140343825,4.337895534664514e-37
